name,emotion,chinese
G00009/G00009_42/G00009_42_14/G00009_42_14_024,neutral,[over/]还给他点[/over]饭。
G00009/G00009_42/G00009_42_14/G00009_42_14_001,fearful,前两天我有一个那个演员朋[over/]友[/over]，然后来找我说说，她有一个那个私生饭，[over/]挺[interrupted][/over]。
G00009/G00009_42/G00009_42_14/G00009_42_14_051,neutral,[over/]他都[/over]得知道。然后呢你的任何的丢的，他[over/]丢的那种[/over]二手的那些[over/]东西[/over]，不太不太需要了的他就会给收回去。
G00009/G00009_42/G00009_42_14/G00009_42_14_038,neutral,[over/]你也不会知道是谁呀，因为[/over]你知道是谁了你就可以打电话[over/]让他走了吗[/over]。然后但是他就在这种私人的情况下，[over/]他会[/over]隐藏自己。
G00009/G00009_42/G00009_42_14/G00009_42_14_032,neutral,[over/]他侵犯你的生活[/over]。
G00009/G00009_42/G00009_42_14/G00009_42_14_041,neutral,[over/]嗯我那个朋友说[/over]，她前几天[over/]说[/over]跟几个男生[over/]还有[/over]女生嘛，[over/]家里[/over]就是就是叫叫家里来[over/]玩儿，朋友嘛[/over]。然后玩完之后晚上他走了，然后第二天她收到一封信。
G00009/G00009_42/G00009_42_14/G00009_42_14_016,neutral,对，然后跟到你家里完了之后他[interrupted]。
G00009/G00009_42/G00009_42_14/G00009_42_14_020,neutral,但是[over/]你会[/over]感觉到有人，[over/]因为他会给你[/over]送东西，[over/]他会[interrupted][/over]。
G00009/G00009_42/G00009_42_14/G00009_42_14_039,disgusted,[over/]但其时候[/over]他会给你发你所有的信息，然后他把你所有的信息都摸得透透的，你[over/]身边每[/over]一个人他都知道。
G00009/G00009_42/G00009_42_14/G00009_42_14_005,disgusted,私生饭，你知道同担吧。
G00009/G00009_42/G00009_42_14/G00009_42_14_007,fearful,就是一个粉丝，[over/]然后[/over]他特别喜欢你，[over/]他会把[/over]你的所有的过往东西都给你查出来。
G00009/G00009_42/G00009_42_14/G00009_42_14_033,disgusted,[over/]他想让[/over]知道，他想让你知道。但是呢他不想用这种方式知道，然后他还会偷拍你。
G00009/G00009_42/G00009_42_14/G00009_42_14_030,neutral,对啊，就是她你知道吗就她一开门你就看那个饭就在那。[over/]你也[/over]不知道是哪[over/]来的[/over]，然后完了之后你也不知道她是[over/]谁给[/over]的，然后你又不敢吃，[over/]你只[/over]能拿下来扔掉。
G00009/G00009_42/G00009_42_14/G00009_42_14_043,fearful,你知道吗[over/]巨吓[/over]人。然后呢就清楚的知道他几点几点走的，[over/]几点[/over]几点来的，来了[over/]多少人[/over]，哇，[over/]全[/over]知道呢。
G00009/G00009_42/G00009_42_14/G00009_42_14_049,neutral,嗯，哇塞你知道吗，[over/]那些[/over]你知道吗她那些垃圾就[over/]放外头呢[/over]。
G00009/G00009_42/G00009_42_14/G00009_42_14_003,neutral,我跟你说啊。
G00009/G00009_42/G00009_42_14/G00009_42_14_018,neutral,他不会。
G00009/G00009_42/G00009_42_14/G00009_42_14_011,neutral,[over/]对，你就是他的同担[/over]。
G00009/G00009_42/G00009_42_14/G00009_42_14_009,neutral,就是那种小到你小的时候获得什么什么[over/]奖，大到你[/over]现在有什么样的那个[over/]新闻什么这些[/over]。
G00009/G00009_42/G00009_42_14/G00009_42_14_026,neutral,就给她放门口，没有人。
G00009/G00009_42/G00009_42_14/G00009_42_14_014,neutral,然后完了之后呢，他会一直跟你跟到家里头。
G00009/G00009_42/G00009_42_14/G00009_42_14_042,disgusted,然后他那个私人饭在那说，说不许跟别人跟别的男生一起玩怎么怎么样，然后你不能怎么怎么的。
G00009/G00009_42/G00009_42_14/G00009_42_14_035,angry,他会就跟狗仔一样，[over/]他会跟[/over]偷偷拍你。[over/]然后[/over]你去哪他就会[over/]那个[/over]，然后他会[over/]给你[/over]所有的平台发私信。从我说喜欢你怎么怎么样，我是你的粉丝我怎么[over/]怎么样[/over]。
G00009/G00009_42/G00009_42_14/G00009_42_14_047,disgusted,[over/]然后他会去翻你垃[/over]圾桶。
G00009/G00009_42/G00009_42_14/G00009_42_14_012,neutral,然后私生犯呢比这还过分。[over/]他[/over]私生犯会怎么样，他会跟踪你，他会然后你知道吗，他就会他跟我跟踪我那个[over/]朋友[/over]。
G00009/G00009_42/G00009_42_14/G00009_42_14_052,fearful,然后呢我过段时间发给你说，我把这东西修好了给[over/]你送[/over]过来，就相就很可怕。
G00009/G00009_42/G00009_42_14/G00009_42_14_028,neutral,[over/]一周[/over]没有人。
G00009/G00009_42/G00009_42_14/G00009_42_14_022,neutral,他会就是那天他就是会每就是他有连续一周你知道吗？
G00009/G00009_42/G00009_42_12/G00009_42_12_036,happy,[over/]跟着你[/over]。
G00009/G00009_42/G00009_42_12/G00009_42_12_019,neutral,他不会让你看见他。
G00009/G00009_42/G00009_42_12/G00009_42_12_015,neutral,跟到你家里!
G00009/G00009_42/G00009_42_12/G00009_42_12_023,neutral,哦哦[over/]哦哦[/over]。
G00009/G00009_42/G00009_42_12/G00009_42_12_053,neutral,哎呦，太吓人了[over/]这种[/over]。
G00009/G00009_42/G00009_42_12/G00009_42_12_048,disgusted,翻你的垃圾桶!
G00009/G00009_42/G00009_42_12/G00009_42_12_029,angry,那那饭你也不敢吃啊。
G00009/G00009_42/G00009_42_12/G00009_42_12_037,neutral,但是你也对不号，[over/]对不上是哪一号人啊[/over]。
G00009/G00009_42/G00009_42_12/G00009_42_12_045,surprised,[over/]就全程跟着呢[/over]？
G00009/G00009_42/G00009_42_12/G00009_42_12_031,angry,那那就是这种私生犯就，[over/]他们也不想[/over]他们也不想让他的[over/]喜欢的这个人[/over][interrupted]。
G00009/G00009_42/G00009_42_12/G00009_42_12_002,surprised,[over/]这这[/over]是，啥是私生饭。
G00009/G00009_42/G00009_42_12/G00009_42_12_017,neutral,他会让你看见他吗？
